year,age,age_cat,pop,abbrev,division,pop_std,opioid_deaths,mx,y
1999,25,25-29,897285,IL,East North Central,17722067,51,5.68381283538675e-5,-9.775303183604978
1999,25,25-29,994333,FL,South Atlantic,17722067,46,4.626216770438072e-5,-9.981186043106637
1999,25,25-29,1336334,NY,Middle Atlantic,17722067,52,3.8912427581727325e-5,-10.154196883252508
1999,25,25-29,1574407,TX,West South Central,17722067,36,2.2865751994242913e-5,-10.685870312952343
1999,25,25-29,2563984,CA,Pacific,17722067,86,3.354155096131645e-5,-10.30272556050011
1999,30,30-34,39818,VT,New England,19511370,1,2.5114269928173187e-5,-10.592074350339741
1999,30,30-34,48329,AK,Pacific,19511370,4,8.27660410933394e-5,-9.399492712423033
1999,30,30-34,49639,DC,South Atlantic,19511370,2,4.029090030016721e-5,-10.119384913511364
1999,30,30-34,52055,MT,Mountain,19511370,3,5.763135145519163e-5,-9.761443842240743
1999,30,30-34,57757,DE,South Atlantic,19511370,6,1.0388351195526084e-4,-9.172240363931602
1999,30,30-34,74605,RI,New England,19511370,3,4.021178205214128e-5,-10.121350519406413
1999,30,30-34,81995,ID,Mountain,19511370,3,3.6587596804683215e-5,-10.215801260109437
1999,30,30-34,85762,ME,New England,19511370,4,4.6640703341806394e-5,-9.973036935808333
1999,30,30-34,88800,NH,New England,19511370,8,9.009009009009009e-5,-9.314700387300425
1999,30,30-34,90661,HI,Pacific,19511370,4,4.4120404584110034e-5,-10.028588193536928
1999,30,30-34,111440,NE,West North Central,19511370,1,8.973438621679828e-6,-11.621241608453687
1999,30,30-34,113811,WV,South Atlantic,19511370,1,8.786496911546336e-6,-11.642294456811449
1999,30,30-34,120209,NM,Mountain,19511370,15,1.24782670182765e-4,-8.988936972386012
1999,30,30-34,148235,UT,Mountain,19511370,18,1.2142881235875468e-4,-9.016182373406274
1999,30,30-34,158717,NV,Mountain,19511370,17,1.0710887932609613e-4,-9.141664677074177
1999,30,30-34,174957,AR,West South Central,19511370,4,2.2862760564024303e-5,-10.686001147307346
1999,30,30-34,176480,KS,West North Central,19511370,2,1.1332728921124207e-5,-11.387815653927383
1999,30,30-34,184425,IA,West North Central,19511370,1,5.42225837061136e-6,-12.124998155752502
1999,30,30-34,222269,OK,West South Central,19511370,12,5.398863539224993e-5,-9.826736989247983
1999,30,30-34,234262,OR,Pacific,19511370,17,7.256832093980244e-5,-9.530982082053615
1999,30,30-34,254504,CT,New England,19511370,18,7.072580391663785e-5,-9.556700074045375
1999,30,30-34,282553,SC,South Atlantic,19511370,5,1.769579512516236e-5,-10.94218351015733
1999,30,30-34,286835,KY,East South Central,19511370,14,4.880854846863179e-5,-9.927605086908729
1999,30,30-34,301295,AL,East South Central,19511370,4,1.3276025158067674e-5,-11.229550769104751
1999,30,30-34,307731,LA,West South Central,19511370,3,9.748774091657973e-6,-11.53836901504865
1999,30,30-34,327928,CO,Mountain,19511370,13,3.96428484301432e-5,-10.135599993613294
1999,30,30-34,355280,MN,West North Central,19511370,5,1.4073406890340013e-5,-11.171223577531883
1999,30,30-34,367109,AZ,Mountain,19511370,26,7.08236518309276e-5,-9.555317547643442
1999,30,30-34,374238,WI,East North Central,19511370,9,2.4048867298350248e-5,-10.635422660303334
1999,30,30-34,378212,MO,West North Central,19511370,9,2.379617780504056e-5,-10.6459855866107
1999,30,30-34,412169,TN,East South Central,19511370,7,1.6983324801234444e-5,-10.983278589344476
1999,30,30-34,416285,MD,South Atlantic,19511370,63,1.5133862618158233e-4,-8.795990674434474
1999,30,30-34,419558,IN,East North Central,19511370,4,9.533842758331388e-6,-11.560662694045632
